date,url,title,dates2,month,year
"mayo 24, 2024",https://lopezobrador.org.mx/2024/05/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1189/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-24,5,2024
"mayo 23, 2024",https://lopezobrador.org.mx/2024/05/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1188/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-23,5,2024
"mayo 22, 2024",https://lopezobrador.org.mx/2024/05/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1187/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-22,5,2024
"mayo 21, 2024",https://lopezobrador.org.mx/2024/05/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1186/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-21,5,2024
"mayo 20, 2024",https://lopezobrador.org.mx/2024/05/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1185/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-20,5,2024
"mayo 17, 2024",https://lopezobrador.org.mx/2024/05/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1184/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-17,5,2024
"mayo 16, 2024",https://lopezobrador.org.mx/2024/05/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1183/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-16,5,2024
"mayo 15, 2024",https://lopezobrador.org.mx/2024/05/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1182/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-15,5,2024
"mayo 14, 2024",https://lopezobrador.org.mx/2024/05/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1181/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-14,5,2024
"mayo 13, 2024",https://lopezobrador.org.mx/2024/05/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1180/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-13,5,2024
"mayo 10, 2024",https://lopezobrador.org.mx/2024/05/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1179/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-10,5,2024
"mayo 9, 2024",https://lopezobrador.org.mx/2024/05/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1178/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-09,5,2024
"mayo 8, 2024",https://lopezobrador.org.mx/2024/05/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1177/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-08,5,2024
"mayo 7, 2024",https://lopezobrador.org.mx/2024/05/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1176/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-07,5,2024
"mayo 6, 2024",https://lopezobrador.org.mx/2024/05/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1175/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-06,5,2024
"mayo 3, 2024",https://lopezobrador.org.mx/2024/05/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1174/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-03,5,2024
"mayo 2, 2024",https://lopezobrador.org.mx/2024/05/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1173/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-02,5,2024
"mayo 1, 2024",https://lopezobrador.org.mx/2024/05/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1172/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-05-01,5,2024
"abril 30, 2024",https://lopezobrador.org.mx/2024/04/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1171/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-30,4,2024
"abril 29, 2024",https://lopezobrador.org.mx/2024/04/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1170/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-29,4,2024
"abril 26, 2024",https://lopezobrador.org.mx/2024/04/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1169/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-26,4,2024
"abril 25, 2024",https://lopezobrador.org.mx/2024/04/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1168/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-25,4,2024
"abril 24, 2024",https://lopezobrador.org.mx/2024/04/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1167/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-24,4,2024
"abril 23, 2024",https://lopezobrador.org.mx/2024/04/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1166/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-23,4,2024
"abril 22, 2024",https://lopezobrador.org.mx/2024/04/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1165/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-22,4,2024
"abril 19, 2024",https://lopezobrador.org.mx/2024/04/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1164/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-19,4,2024
"abril 18, 2024",https://lopezobrador.org.mx/2024/04/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1163/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-18,4,2024
"abril 17, 2024",https://lopezobrador.org.mx/2024/04/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1162/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-17,4,2024
"abril 16, 2024",https://lopezobrador.org.mx/2024/04/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1161/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-16,4,2024
"abril 15, 2024",https://lopezobrador.org.mx/2024/04/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1160/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-15,4,2024
"abril 12, 2024",https://lopezobrador.org.mx/2024/04/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1159/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-12,4,2024
"abril 11, 2024",https://lopezobrador.org.mx/2024/04/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1158/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-11,4,2024
"abril 10, 2024",https://lopezobrador.org.mx/2024/04/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1157/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-10,4,2024
"abril 9, 2024",https://lopezobrador.org.mx/2024/04/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1156/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-09,4,2024
"abril 8, 2024",https://lopezobrador.org.mx/2024/04/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-sinaloa-4/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Sinaloa",2024-04-08,4,2024
"abril 5, 2024",https://lopezobrador.org.mx/2024/04/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1155/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-05,4,2024
"abril 4, 2024",https://lopezobrador.org.mx/2024/04/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1154/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-04,4,2024
"abril 3, 2024",https://lopezobrador.org.mx/2024/04/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1153/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-03,4,2024
"abril 2, 2024",https://lopezobrador.org.mx/2024/04/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1152/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-02,4,2024
"abril 1, 2024",https://lopezobrador.org.mx/2024/04/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1151/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-04-01,4,2024
"marzo 27, 2024",https://lopezobrador.org.mx/2024/03/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1150/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-27,3,2024
"marzo 26, 2024",https://lopezobrador.org.mx/2024/03/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1149/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-26,3,2024
"marzo 25, 2024",https://lopezobrador.org.mx/2024/03/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1148/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2024-03-25,3,2024
"marzo 22, 2024",https://lopezobrador.org.mx/2024/03/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-veracruz-7/,"Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador, desde Veracruz",2024-03-22,3,2024
