,Unnamed: 0,date,url,title,dates2,month,year,Unnamed: 6,Unnamed: 7
1176,1204,"agosto 7, 2023",https://lopezobrador.org.mx/2023/08/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1018/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-08-07,8,2023,,
1177,1205,"agosto 8, 2023",https://lopezobrador.org.mx/2023/08/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1019/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-08-08,8,2023,,
1179,1207,"agosto 10, 2023",https://lopezobrador.org.mx/2023/08/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1021/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-08-10,8,2023,,
1185,1213,"agosto 18, 2023",https://lopezobrador.org.mx/2023/08/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1027/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-08-18,8,2023,,
1186,1214,"agosto 21, 2023",https://lopezobrador.org.mx/2023/08/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1028/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-08-21,8,2023,,
1189,1217,"agosto 24, 2023",https://lopezobrador.org.mx/2023/08/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1031/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-08-24,8,2023,,
1200,1228,"septiembre 13, 2023",https://lopezobrador.org.mx/2023/09/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1041/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-09-13,9,2023,,
1215,1243,"octubre 5, 2023",https://lopezobrador.org.mx/2023/10/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1056/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-05,10,2023,,
1216,1244,"octubre 6, 2023",https://lopezobrador.org.mx/2023/10/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1057/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-06,10,2023,,
1218,1246,"octubre 10, 2023",https://lopezobrador.org.mx/2023/10/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-1059/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2023-10-10,10,2023,,
