,date,url,title,dates2,month,year,Unnamed: 6,Unnamed: 7
445,"junio 15, 2020",https://lopezobrador.org.mx/2020/06/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-veracruz/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Veracruz,2020-06-15,6,2020,,
446,"junio 16, 2020",https://lopezobrador.org.mx/2020/06/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-tlaxcala/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Tlaxcala,2020-06-16,6,2020,,
447,"junio 17, 2020",https://lopezobrador.org.mx/2020/06/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-puebla/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Puebla,2020-06-17,6,2020,,
449,"junio 19, 2020",https://lopezobrador.org.mx/2020/06/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-morelos/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Morelos,2020-06-19,6,2020,,
450,"junio 29, 2020",https://lopezobrador.org.mx/2020/06/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-338/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-06-29,6,2020,,
451,"junio 30, 2020",https://lopezobrador.org.mx/2020/06/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-339/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-06-30,6,2020,,
452,"julio 1, 2020",https://lopezobrador.org.mx/2020/07/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-340/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-01,7,2020,,
453,"julio 2, 2020",https://lopezobrador.org.mx/2020/07/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-341/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-02,7,2020,,
454,"julio 3, 2020",https://lopezobrador.org.mx/2020/07/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-342/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-03,7,2020,,
455,"julio 6, 2020",https://lopezobrador.org.mx/2020/07/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-343/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-06,7,2020,,
456,"julio 7, 2020",https://lopezobrador.org.mx/2020/07/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-344/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-07,7,2020,,
457,"julio 10, 2020",https://lopezobrador.org.mx/2020/07/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-345/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-10,7,2020,,
458,"julio 13, 2020",https://lopezobrador.org.mx/2020/07/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-346/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-13,7,2020,,
459,"julio 14, 2020",https://lopezobrador.org.mx/2020/07/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-347/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-14,7,2020,,
460,"julio 15, 2020",https://lopezobrador.org.mx/2020/07/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-guanajuato/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Guanajuato,2020-07-15,7,2020,,
461,"julio 16, 2020",https://lopezobrador.org.mx/2020/07/16/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-jalisco-2/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Jalisco,2020-07-16,7,2020,,
462,"julio 17, 2020",https://lopezobrador.org.mx/2020/07/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-colima/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Colima,2020-07-17,7,2020,,
463,"julio 20, 2020",https://lopezobrador.org.mx/2020/07/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-348/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-20,7,2020,,
464,"julio 21, 2020",https://lopezobrador.org.mx/2020/07/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-349/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-21,7,2020,,
465,"julio 22, 2020",https://lopezobrador.org.mx/2020/07/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-350/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-22,7,2020,,
466,"julio 23, 2020",https://lopezobrador.org.mx/2020/07/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-351/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-23,7,2020,,
467,"julio 24, 2020",https://lopezobrador.org.mx/2020/07/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-oaxaca/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Oaxaca,2020-07-24,7,2020,,
468,"julio 27, 2020",https://lopezobrador.org.mx/2020/07/27/133833/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde el AICM,2020-07-27,7,2020,,
469,"julio 28, 2020",https://lopezobrador.org.mx/2020/07/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-352/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-28,7,2020,,
470,"julio 29, 2020",https://lopezobrador.org.mx/2020/07/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-353/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-29,7,2020,,
471,"julio 30, 2020",https://lopezobrador.org.mx/2020/07/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-354/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-30,7,2020,,
472,"julio 31, 2020",https://lopezobrador.org.mx/2020/07/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-355/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-07-31,7,2020,,
473,"agosto 3, 2020",https://lopezobrador.org.mx/2020/08/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-356/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-03,8,2020,,
474,"agosto 4, 2020",https://lopezobrador.org.mx/2020/08/04/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-nayarit/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Nayarit,2020-08-04,8,2020,,
475,"agosto 5, 2020",https://lopezobrador.org.mx/2020/08/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-sinaloa/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Sinaloa,2020-08-05,8,2020,,
476,"agosto 6, 2020",https://lopezobrador.org.mx/2020/08/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-sonora/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Sonora,2020-08-06,8,2020,,
477,"agosto 7, 2020",https://lopezobrador.org.mx/2020/08/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-baja-california-sur/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Baja California Sur,2020-08-07,8,2020,,
478,"agosto 10, 2020",https://lopezobrador.org.mx/2020/08/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-357/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-10,8,2020,,
479,"agosto 11, 2020",https://lopezobrador.org.mx/2020/08/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-358/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-11,8,2020,,
480,"agosto 12, 2020",https://lopezobrador.org.mx/2020/08/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-359/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-12,8,2020,,
481,"agosto 13, 2020",https://lopezobrador.org.mx/2020/08/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-360/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-13,8,2020,,
482,"agosto 14, 2020",https://lopezobrador.org.mx/2020/08/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-361/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-14,8,2020,,
483,"agosto 17, 2020",https://lopezobrador.org.mx/2020/08/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-362/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-17,8,2020,,
484,"agosto 18, 2020",https://lopezobrador.org.mx/2020/08/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-363/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-18,8,2020,,
485,"agosto 19, 2020",https://lopezobrador.org.mx/2020/08/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-queretaro/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Querétaro,2020-08-19,8,2020,,
486,"agosto 20, 2020",https://lopezobrador.org.mx/2020/08/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-365/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Zacatecas,2020-08-20,8,2020,,
487,"agosto 21, 2020",https://lopezobrador.org.mx/2020/08/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-aguascalientes/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Aguascalientes,2020-08-21,8,2020,,
488,"agosto 24, 2020",https://lopezobrador.org.mx/2020/08/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-364/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-24,8,2020,,
489,"agosto 25, 2020",https://lopezobrador.org.mx/2020/08/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-366/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-25,8,2020,,
490,"agosto 26, 2020",https://lopezobrador.org.mx/2020/08/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-coahuila/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Coahuila,2020-08-26,8,2020,,
491,"agosto 27, 2020",https://lopezobrador.org.mx/2020/08/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-nuevo-leon/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Nuevo León,2020-08-27,8,2020,,
492,"agosto 28, 2020",https://lopezobrador.org.mx/2020/08/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-desde-tamaulipas/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador desde Tamaulipas,2020-08-28,8,2020,,
493,"agosto 31, 2020",https://lopezobrador.org.mx/2020/08/31/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-367/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-08-31,8,2020,,
494,"septiembre 2, 2020",https://lopezobrador.org.mx/2020/09/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-368/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-02,9,2020,,
495,"septiembre 3, 2020",https://lopezobrador.org.mx/2020/09/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-369/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-03,9,2020,,
496,"septiembre 7, 2020",https://lopezobrador.org.mx/2020/09/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-370/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-07,9,2020,,
497,"septiembre 8, 2020",https://lopezobrador.org.mx/2020/09/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-371/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-08,9,2020,,
498,"septiembre 9, 2020",https://lopezobrador.org.mx/2020/09/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-372/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-09,9,2020,,
499,"septiembre 10, 2020",https://lopezobrador.org.mx/2020/09/10/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-373/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-10,9,2020,,
500,"septiembre 11, 2020",https://lopezobrador.org.mx/2020/09/11/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-374/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-11,9,2020,,
501,"septiembre 14, 2020",https://lopezobrador.org.mx/2020/09/14/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-375/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-14,9,2020,,
502,"septiembre 15, 2020",https://lopezobrador.org.mx/2020/09/15/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-376/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-15,9,2020,,
503,"septiembre 17, 2020",https://lopezobrador.org.mx/2020/09/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-377/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-17,9,2020,,
504,"septiembre 18, 2020",https://lopezobrador.org.mx/2020/09/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-378/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-18,9,2020,,
505,"septiembre 21, 2020",https://lopezobrador.org.mx/2020/09/21/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-379/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-21,9,2020,,
506,"septiembre 22, 2020",https://lopezobrador.org.mx/2020/09/22/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-380/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-22,9,2020,,
507,"septiembre 23, 2020",https://lopezobrador.org.mx/2020/09/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-381/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-23,9,2020,,
508,"septiembre 24, 2020",https://lopezobrador.org.mx/2020/09/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-382/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-24,9,2020,,
509,"septiembre 25, 2020",https://lopezobrador.org.mx/2020/09/25/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-383/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-25,9,2020,,
510,"septiembre 28, 2020",https://lopezobrador.org.mx/2020/09/28/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-384/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-28,9,2020,,
511,"septiembre 29, 2020",https://lopezobrador.org.mx/2020/09/29/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-385/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-29,9,2020,,
512,"septiembre 30, 2020",https://lopezobrador.org.mx/2020/09/30/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-386/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-09-30,9,2020,,
513,"octubre 1, 2020",https://lopezobrador.org.mx/2020/10/01/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-387/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-01,10,2020,,
514,"octubre 2, 2020",https://lopezobrador.org.mx/2020/10/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-388/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-02,10,2020,,
515,"octubre 5, 2020",https://lopezobrador.org.mx/2020/10/05/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-389/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-05,10,2020,,
516,"octubre 6, 2020",https://lopezobrador.org.mx/2020/10/06/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-390/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-06,10,2020,,
517,"octubre 7, 2020",https://lopezobrador.org.mx/2020/10/07/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-391/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-07,10,2020,,
518,"octubre 8, 2020",https://lopezobrador.org.mx/2020/10/08/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-392/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-08,10,2020,,
519,"octubre 9, 2020",https://lopezobrador.org.mx/2020/10/09/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-393/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-09,10,2020,,
520,"octubre 12, 2020",https://lopezobrador.org.mx/2020/10/12/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-394/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-12,10,2020,,
521,"octubre 13, 2020",https://lopezobrador.org.mx/2020/10/13/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-395/,Versión estenográfica de la conferencia de prensa matutina del presidente Andrés Manuel López Obrador,2020-10-13,10,2020,,
